_info,unitPrice
"General Block Blob v2, Cold ZRS, Storage, Storage, 10K, Consumption, Cold",0.0052
"Standard HDD Managed Disks, S15 LRS, Storage, Storage, 1/Month, Consumption",11.328
"Premium Block Blob, Premium LRS, Storage, Storage, 10K, Consumption",0.00182
"API Management, Standard, API Management, Developer Tools, 1 Hour, Consumption",0.9407
"Azure Data Lake Storage Gen2 Flat Namespace, Cool RA-GZRS, Storage, Storage, 10K, Consumption",0.2
"Azure Data Lake Storage Gen2 Flat Namespace, Cool GZRS, Storage, Storage, 10K, Consumption",0.2
"SQL Managed Instance Hyperscale - Compute Gen5, 6 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption",0.602778
"SQL Managed Instance Hyperscale - Compute Gen5, 32 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption, SQLMI_HS_Compute_Gen5_32",3.214816
"SQL Managed Instance Hyperscale - Compute Gen5, 80 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption, SQLMI_HS_Compute_Gen5_80",8.03704
"SQL Managed Instance Hyperscale - Compute Gen5, 12 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption",1.205556
"SQL Managed Instance Hyperscale - Compute Gen5, vCore, SQL Managed Instance, Databases, 1 Hour, Consumption, SQLMI_HS_Compute_Gen5",0.100463
"SQL Managed Instance Hyperscale - Compute Gen5, 64 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption, SQLMI_HS_Compute_Gen5_64",6.429632
"SQL Managed Instance Hyperscale - Compute Gen5, 18 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption",1.808334
"SQL Managed Instance Hyperscale - Compute Gen5, 24 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption, SQLMI_HS_Compute_Gen5_24",2.411112
"SQL Managed Instance Hyperscale - Compute Gen5, 40 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption, SQLMI_HS_Compute_Gen5_40",4.01852
"SQL Managed Instance Hyperscale - Compute Gen5, 14 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption",1.406482
"SQL Managed Instance Hyperscale - Compute Gen5, 8 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption, SQLMI_HS_Compute_Gen5_8",0.803704
"SQL Managed Instance Hyperscale - Compute Gen5, 2 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption",0.200926
"SQL Managed Instance Hyperscale - Compute Gen5, 10 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption",1.00463
"SQL Managed Instance Hyperscale - Compute Gen5, 1 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption",0.100463
"SQL Managed Instance Hyperscale - Compute Gen5, 16 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption, SQLMI_HS_Compute_Gen5_16",1.607408
"SQL Managed Instance Hyperscale - Compute Gen5, 4 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption",0.401852
"SQL Managed Instance Hyperscale - Compute Gen5, 20 vCore, SQL Managed Instance, Databases, 1 Hour, Consumption",2.00926
"Azure Data Lake Storage Gen2 Flat Namespace, Cold RA-GZRS, Storage, Storage, 10K/Month, Consumption, Cold",0.039
"Premium Page Blob, P10 ZRS, Storage, Storage, 1/Month, Consumption",32.52
"Files v2, Cool LRS, Storage, Storage, 10K, Consumption",0.013
"Files v2, Cool GRS, Storage, Storage, 10K, Consumption",0.013
"Files v2, Cool ZRS, Storage, Storage, 10K, Consumption",0.013
"Files v2, Cool GZRS, Storage, Storage, 10K, Consumption",0.013
"Azure Data Lake Storage Gen2 Flat Namespace, Cool ZRS, Storage, Storage, 100, Consumption",0.1
"Azure Data Lake Storage Gen2 Flat Namespace, Cool LRS, Storage, Storage, 100, Consumption",0.1
"Standard Page Blob v2, Standard GRS, Storage, Storage, 10K, Consumption",0.03225
"Standard Page Blob v2, Standard RA-GRS, Storage, Storage, 10K, Consumption",0.03225
"SQL Database Single/Elastic Pool General Purpose - Compute DC-Series, 1 vCore, SQL Database, Databases, 1 Hour, Consumption",0.396
"General Block Blob v2, Cool GRS, Storage, Storage, 1M, Consumption",0.0027
"Change Feed, Blob, Storage, Storage, 1M, Consumption",1.3
"SQL Database Single/Elastic Pool General Purpose - Compute DC-Series, 1 vCore, SQL Database, Databases, 1 Hour, Consumption",0.396
"General Block Blob v2, Cool ZRS, Storage, Storage, 10K, Consumption",0.1
"SQL Database Single Premium, P11 Secondary, SQL Database, Databases, 1/Day, Consumption",169.36
"Premium Block Blob v2 Hierarchical Namespace, Premium LRS, Storage, Storage, 10K, Consumption",0.00237
"Blob Storage, Cold LRS, Storage, Storage, 1 GB/Month, Consumption, Cold",0.0045
"Azure App Service Premium v3 Plan - Linux, P3mv3, Azure App Service, Compute, 1 Hour, Reservation, Azure_App_Service_Premium_v3_Plan_Linux_P3mv3, 1 Year",4865.0
"Azure App Service Premium v3 Plan - Linux, P3mv3, Azure App Service, Compute, 1 Hour, Reservation, Azure_App_Service_Premium_v3_Plan_Linux_P3mv3, 3 Years",10104.0
"Azure App Service Premium v3 Plan - Linux, P3mv3, Azure App Service, Compute, 1 Hour, DevTestConsumption, Azure_App_Service_Premium_v3_Plan_Linux_P3mv3",0.6229
"Azure App Service Premium v3 Plan - Linux, P3mv3, Azure App Service, Compute, 1 Hour, Consumption, Azure_App_Service_Premium_v3_Plan_Linux_P3mv3",0.8544
"SQL Database - LTR Backup Storage, Backup RA-GZRS, SQL Database, Databases, 1 GB/Month, Consumption",0.101
"Premium Files, Premium LRS, Storage, Storage, 1 GiB, Consumption",0.013
"SQL Managed Instance PITR Backup Storage, Backup LRS, SQL Managed Instance, Databases, 1 GB/Month, Consumption",0.119
"General Block Blob v2 Hierarchical Namespace, Cold RA-GRS, Storage, Storage, 1 GB, Consumption, Cold",0.0101
"SQL Database - LTR Backup Storage, Backup LRS, SQL Database, Databases, 1 GB/Month, Consumption",0.0298
"General Block Blob v2 Hierarchical Namespace, Cold GZRS, Storage, Storage, 10K, Consumption, Cold",0.13
"Azure Analysis Services Basic, B2, Azure Analysis Services, Analytics, 1 Hour, Consumption",0.86
"Premium SSD Managed Disks, P40 LRS, Storage, Storage, 1/Month, Consumption, Premium_SSD_Managed_Disks_P40",17.082
"General Block Blob v2, Cool GZRS, Storage, Storage, 10K, Consumption",0.2
"Static Web Apps, Standard, Azure App Service, Compute, 1 Hour, Consumption",0.024
"Azure Cosmos DB Dedicated Gateway - Memory Optimized, E2s, Azure Cosmos DB, Databases, 1 Hour, Consumption",0.284709
"Standard SSD Managed Disks, Snapshots ZRS, Storage, Storage, 1 GB/Month, Consumption",0.217
"Azure App Service Standard Plan - Linux, S1, Azure App Service, Compute, 1 Hour, Consumption",0.095
"Premium SSD Managed Disks, P3 LRS, Storage, Storage, 1/Month, Consumption",0.156
"SQL Database Single/Elastic Pool PITR Backup Storage, Backup RA-GRS, SQL Database, Databases, 1 GB/Month, Consumption",0.238
"General Block Blob v2, Cool LRS, Storage, Storage, 10K, Consumption",0.1
"Blob Storage, Cool LRS, Storage, Storage, 10K, Consumption",0.1
"SQL Database Single Premium, P6, SQL Database, Databases, 1/Day, Consumption",120.0
"Functions, Standard, Functions, Compute, 1 GB Second, Consumption",1.6e-05
"Functions, Standard, Functions, Compute, 1 GB Second, Consumption",0.0
"Azure Database for MySQL Flexible Server Burstable BS Series Compute, Standard_B2ms2, Azure Database for MySQL, Databases, 1 Hour, Consumption, B2MS",0.1592
"SQL Database Single Premium, P1 Secondary, SQL Database, Databases, 1/Day, Consumption",11.25
"Azure Database for MySQL Standard Compute, Standard, Azure Database for MySQL, Databases, 1 Hour, Consumption",0.001158
