_info,unitPrice
"SQL Database Single/Elastic Pool General Purpose - Compute DC-Series, 1 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.396
"SQL Database Single/Elastic Pool General Purpose - Compute DC-Series, 1 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.396
"SQL Database Single Premium, P11 Secondary, P11 Secondary DTU, SQL Database, Databases, 1/Day, Consumption",169.36
"SQL Database - LTR Backup Storage, Backup RA-GZRS, Backup RA-GZRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.101
"SQL Database - LTR Backup Storage, Backup LRS, Backup LRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.0298
"SQL Database Single/Elastic Pool PITR Backup Storage, Backup RA-GRS, RA-GRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.238
"SQL Database Single Premium, P6, P6 DTU, SQL Database, Databases, 1/Day, Consumption",120.0
"SQL Database Single Premium, P1 Secondary, P1 Secondary DTU, SQL Database, Databases, 1/Day, Consumption",11.25
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 6 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",1.205556
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 18 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",3.616668
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.803704
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 10 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.00926
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 12 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",2.411112
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 1 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.200926
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 16 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",3.214816
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, vCore, vCore, SQL Database, Databases, 1 Hour, Reservation, 3 Years",2376.0
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 48 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",9.644448
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 32 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",6.429632
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 40 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",8.03704
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 2 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.401852
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 24 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",4.822224
"SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5, 20 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",4.01852
